CountryName,CountryCode,Region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Population,GDPOf2019,GDPPerCapita2019,RankOf2021
Puerto Rico,PRI,Caribbean,15.7,14.5,14.3,13.9,12,11.8,10.8,9.2,8.3,8.89,8.27,"3,193,694",1.05E+11,32873.72,67
Qatar,QAT,Asia,0.56,0.48,0.28,0.2,0.17,0.15,0.14,0.11,0.1,0.21,0.26,"2,832,067",1.83E+11,64781.73,182
Republic of North Macedonia,MKD,Europe,31.38,31.02,29,28.03,26.07,23.72,22.38,20.74,17.26,17.2,16.2,"1,836,713",10220781069,5564.71,20
Romania,ROU,Europe,7.18,6.79,7.1,6.8,6.81,5.9,4.93,4.19,3.91,5.03,5.17,"19,356,544",2.50E+11,12919.53,114
Russia,RUS,Europe,6.54,5.44,5.46,5.16,5.57,5.56,5.21,4.85,4.5,5.59,5.01,"144,373,535",1.70E+12,11774.16,121
Rwanda,RWA,Africa,1.1,1.12,1.15,1.17,1.15,1.14,1.14,1.11,1.1,1.49,1.61,"12,626,950",10122472590,801.66,175
Saint Lucia,LCA,Caribbean,18.86,19.06,22.21,21.3,20.56,19.65,18.86,19.08,15.32,16.89,16.91,"182,790",2122450630,11611.42,16
Saint Vincent and the Grenadines,VCT,Caribbean,18.99,18.97,18.99,19.05,19.09,19.11,19.18,19.18,19.28,21,21.62,"100,455",825385185,8216.47,9
Samoa,WSM,Oceania,5.68,8.75,8.67,8.72,8.5,8.31,8.58,8.69,8.41,9.15,9.84,"202,506",850655017,4200.64,51
São Tomé and Príncipe,STP,Africa,14.11,13.59,13.65,13.7,13.82,13.89,13.97,14.06,14.14,15.75,15.91,"215,056",429016605,1994.91,21
Saudi Arabia,SAU,Asia,5.77,5.52,5.57,5.72,5.59,5.65,5.89,6.04,5.67,7.45,7.36,"34,268,528",7.93E+11,23139.8,79
Senegal,SEN,Africa,10.36,9.44,8.58,7.65,6.76,4.46,3.69,3.28,2.86,3.62,3.72,"16,296,364",23578084052,1446.83,147
Serbia,SRB,Europe,22.97,24,22.15,19.22,17.66,15.26,13.48,12.73,10.39,9.01,11.81,"6,944,975",51409167351,7402.35,40
Sierra Leone,SLE,Africa,4.29,4.4,4.51,4.68,4.74,4.66,4.66,4.66,4.65,5.2,5.33,"7,813,215",3941474311,504.46,108
Singapore,SGP,Asia,3.89,3.72,3.86,3.74,3.79,4.08,4.2,3.64,3.1,4.1,3.62,"5,703,569",3.72E+11,65233.28,150
Slovakia,SVK,Europe,13.62,13.96,14.22,13.18,11.48,9.67,8.13,6.54,5.75,6.69,6.74,"5,454,073",1.05E+11,19329.1,86
Slovenia,SVN,Europe,8.17,8.84,10.1,9.67,8.96,8,6.56,5.11,4.45,4.97,4.42,"2,087,946",53742159517,25739.25,133
Solomon Islands,SLB,Oceania,1.3,1.05,0.69,0.73,0.73,0.7,0.71,0.72,0.75,0.92,1.03,"669,823",1425074226,2127.54,179
Somalia,SOM,Africa,18.98,18.97,18.95,18.93,18.9,18.89,18.88,18.85,18.83,19.72,19.86,"15,442,905",4720727278,305.69,10
South Africa,ZAF,Africa,24.64,24.73,24.56,24.89,25.15,26.54,27.04,26.91,28.47,29.22,33.56,"58,558,270",3.51E+11,6001.4,1
South Korea,KOR,Asia,2.99,2.81,2.75,3.08,3.55,3.65,3.65,3.82,3.75,3.93,3.53,"51,709,098",2.03E+12,39238.74,153
South Sudan,SSD,Africa,12.2,12.2,12.13,12.19,12.27,12.3,12.25,12.24,12.23,14.03,13.91,"11,062,113",11997800751,1084.58,32
Spain,ESP,Europe,21.39,24.79,26.09,24.44,22.06,19.63,17.22,15.25,14.1,15.53,14.73,"47,076,781",1.39E+12,29613.67,26
Sri Lanka,LKA,Asia,4.12,3.88,4.24,4.19,4.52,4.24,4.05,4.32,4.35,5.88,5.39,"21,803,000",84008783756,3853.08,107
Sudan,SDN,Africa,17.44,17.45,17.41,17.43,17.49,17.52,17.53,17.58,17.65,19.65,19.81,"42,813,238",18902284476,441.51,11
Suriname,SUR,South America,7.54,8.1,6.6,6.94,7.22,7.92,7.9,7.93,8.04,9.78,10.06,"581,372",3985250737,6854.91,50
Sweden,SWE,Europe,7.8,7.98,8.05,7.95,7.43,6.99,6.72,6.36,6.83,8.29,8.66,"10,285,453",5.31E+11,51610.07,62
Switzerland,CHE,Europe,4.4,4.48,4.75,4.83,4.8,4.92,4.8,4.71,4.39,4.82,5.32,"8,574,832",7.03E+11,81993.73,109
Syria,SYR,Asia,8.7,8.81,8.83,8.72,8.71,8.73,8.75,8.76,8.77,10.26,10.57,"17,070,135",40405006007,2367,47
Tajikistan,TJK,Asia,10.24,9.58,8.91,8.23,7.55,6.9,6.95,7.01,7.06,7.58,7.75,"9,321,018",8116626794,870.79,72
Tanzania,TZA,Africa,3.47,3.23,2.93,2.12,2.14,2.16,2.18,2.21,2.22,2.53,2.65,"58,005,463",63177068175,1089.16,165
Thailand,THA,Asia,0.66,0.58,0.25,0.58,0.6,0.69,0.83,0.77,0.72,1.1,1.42,"69,625,582",5.44E+11,7808.19,177
Timor-Leste,TLS,Asia,3.55,3.76,4.02,4.21,4.45,4.66,4.76,4.73,4.51,4.91,5.07,"3,500,000",1673540300,478.15,118
Togo,TGO,Africa,1.98,2.03,2.09,2.14,2.2,2.97,3.74,3.73,3.72,3.94,4,"8,082,366",5459979417,675.54,142
Tonga,TON,Oceania,1.79,2.07,2.24,2.37,2.55,2.57,2.82,3.07,3.06,3.63,3.97,"100,209",450353314,4494.14,144
